column0,column1,column2,column3,column4
1,1は最小の高度合成数であり、最小のリュカ数であり、最小の階乗数であり、最小のカプレカ数であり、最小のベル数であり、最小の高度トーティエント数です。,ベンフォードの法則によれば、自然界に出現する数値や数学的対象の多くは最初の桁が1である確率が30%に及ぶそうです。,,素数の定義として「1 と自分自身で割り切れる整数」を採用することにより、1 を素数と見なす数学者もいました。
2,2は最小の素数であり、3番目のフィボナッチ数であり、3番目のトリボナッチ数であり、3番目のテトラナッチ数です。,2は 2=√(2+√(2+√(2+…)))という無限多重根号で表すことが出来ます。また、2=√(6-√(6-√(6-…))),,で表すこともできます。
3,3は最小のスーパー素数であり、最小のメルセンヌ素数であり、三角数では唯一の素数です。,√3=1.7320508075...の覚え方には、「人並みにおごれやおなご」というものがあります。,,
3.141592,円周率π＝3.14159 26535 89793 23846 26433 83279 50288 …であり、直径1の円の周の長さに相当します。,アルキメデスは円に内接する正96角形と外接する正96角形の長さで挟み込むことにより円周率πを近似しました。入試問題として有名なπ>3.05の証明は内接正八角形で可能です。,"πの覚え方の英語版に"" How I want a drink , alcoholic of course , after the heavy lectures involving quantum mechanics! ""というものがあり、各単語の文字数が各桁の値になっています。",
3.141592,アルキメデス以降、円周率πの近似値を精密に導き出した中国の数学者に”祖沖之”という人物がいます。彼が与えた近似値355/133=3.141592920353…は「密率」と呼ばれています。,,,
4,4は最小の半素数であり、最小のスミス数であり、1の次に来る2番目の三角錐数です。,全ての自然数は高々4つの平方数の和で表すことができます。いかなる平面または球面上の地図も、隣接する領域が異なる色になるように塗るには4色あれば充分となります。,,
5,5は最小の安全素数です。また、5=2+3であり、連続した素数の和で表すことのできる唯一の素数です。,正五角形はコンパスと定規だけで作図できます。参考：https://www.youtube.com/watch?v=CeAPSV28PTc,,
6,6は合成数であり、約数の和は12です。また、1+2+3で表される最小の完全数です。6のべき乗の1の位はすべて6になります。,６は√(30+√(30+√(30+…)))の無限多重根号で表すことが出来ます。また、√６=2.44948974…には「女子、串焼くなよ」という語呂合わせがあります。,,
1729,1729は2番目のタクシー数Ta(2)です。Ta(1)=2=1^3+1^3 。Ta(2)=1^3+12^3=9^3+10^3 。 次のタクシー数Ta(3)は87539319という大きな数になります。,,,
知識1,nの約数の総和を表す関数をσ(n)としたとき、σ(σ(n))=2nを満たす自然数ｎのことを超完全数と呼びます。nの約数の総和について、約数の総和を求め、2nと一致するもののことを言います。最小の超完全数は2です。,【初等的な円周率を求める公式】高校数学の美しい物語：https://mathtrain.jp/pimotomeru,統計学において、かつては確率論の主義による対立がありましたが、現代の統計学において、「ベイズ主義」と「頻度主義」は対立するものではなく、推測に最適な主義を自由に選んでもよいという考え方が一般的となっています。,"素数を小さい順にp(1),p(2),p(3),…とおく。nが4以上の時、p(1)*p(2)*p(3)*p(4)*…*pn > p(n+1)^2が成り立つ、という定理を「ボンゼの定理」といいます。"
知識2,【微小区間Δを用いて(1.998)の四乗を近似する方法】 blackpenredpen氏：https://youtu.be/bEylbdVM54A,二次方程式の解の公式は図形的に導き出すことが出来ます。https://youtu.be/EBbtoFMJvFc,一、十、百、千、万、億、兆、京、垓、ジョ、ジョウ、コウ、カン、セイ、サイ、ゴク、コウガシャ、アソウギ、ナユタ、不可思議、無量大数,81分の1を少数で表すと0.012345679012345679…というきれいな循環小数になります。
